Row#,Name,dwGroup,wTableIndex,Mod1,Mod2,Mod3,wIType1,wIType2,wIType3,wIType4,wIType5,wIType6,wIType7,wEType1,wEType2,wEType3,wEType4,wEType5
212,'of Craftsmanship',0xE,0x74A,0x1C::(0)[2],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
213,'of Quality',0xE,0x74B,0x1C::(0)[3.4],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
214,'of Quality',0xE,0x74B,0x1C::(0)[5.6],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
215,'of Maiming',0xE,0x74C,0x1C::(0)[7.8],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
216,'of Craftsmanship',0xE,0x74A,0x1C::(0)[1],,,0x52,,,,,,,,,,0xFFFF,0xFFFF
217,'of Quality',0xE,0x74B,0x1C::(0)[2],,,0x52,,,,,,,,,,0xFFFF,0xFFFF
218,'of Maiming',0xE,0x74C,0x1C::(0)[3.4],,,0x52,,,,,,,,,,0xFFFF,0xFFFF
219,'of Ire',0xE,0x520A,0x1C::(0)[2.5],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
220,'of Wrath',0xE,0x5209,0x1C::(0)[6.9],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
221,'of Carnage',0xE,0x74F,0x1C::(0)[11.15],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
222,'of Worth',0xF,0x751,0x1B::(0)[1.2],,,0x2D,,,,,,,0x1A,0x19,0x44,0xFFFF,0xFFFF
223,'of Measure',0xF,0x752,0x1B::(0)[3.4],,,0x2D,,,,,,,0x1A,0x19,0x44,0xFFFF,0xFFFF
224,'of Excellence',0xF,0x753,0x1B::(0)[5.8],,,0x2D,,,,,,,0x1A,0x19,0x44,0xFFFF,0xFFFF
225,'of Performance',0xF,0x754,0x1B::(0)[9.14],,,0x2D,,,,,,,0x1A,0x19,0x44,0xFFFF,0xFFFF
226,'of Transcendence',0xF,0x5208,0x1B::(0)[15.20],,,0x2D,,,,,,,0x1A,0x19,0x44,0xFFFF,0xFFFF
227,'of Worth',0xF,0x751,0x1B::(0)[2.3],,,0xA,0xC,0x4B,,,,,,,,0xFFFF,0xFFFF
228,'of Measure',0xF,0x752,0x1B::(0)[4.5],,,0xA,0xC,0x4B,,,,,,,,0xFFFF,0xFFFF
229,'of Excellence',0xF,0x753,0x1B::(0)[6.9],,,0xA,0xC,0x4B,,,,,,,,0xFFFF,0xFFFF
230,'of Performance',0xF,0x754,0x1B::(0)[10.13],,,0xA,0xC,0x4B,,,,,,,,0xFFFF,0xFFFF
231,'of Joyfulness',0xF,0x52D4,0x1B::(0)[1.4],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
232,'of Bliss',0xF,0x5206,0x1B::(0)[5.10],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
233,'of Blight',0x10,0x755,0x8A::(75)[24],,,0x2D,0x4B,,,,,,0x37,0x44,,0xFFFF,0xFFFF
234,'of Venom',0x10,0x756,0x8A::(100)[54],,,0x2D,0x4B,,,,,,0x37,0x44,,0xFFFF,0xFFFF
235,'of Pestilence',0x10,0x757,0x8A::(125)[103],,,0x2D,0x4B,,,,,,0x37,0x44,,0xFFFF,0xFFFF
236,'of Anthrax',0x10,0x5205,0x8A::(150)[171],,,0x2D,,,,,,,0x37,0x44,,0xFFFF,0xFFFF
237,'of Blight',0x10,0x755,0x8A::(75)[171],,,0xA,0xC,,,,,,,,,0xFFFF,0xFFFF
238,'of Envy',0x10,0x5204,0x8A::(50)[103],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
239,'of Dexterity',0x11,0x758,0x8::(0)[1.2],,,0xC,0x2F,0x4B,,,,,,,,0xFFFF,0xFFFF
240,'of Skill',0x11,0x759,0x8::(0)[3.5],,,0xC,0x2F,0x4B,,,,,,,,0xFFFF,0xFFFF
241,'of Accuracy',0x11,0x75A,0x8::(0)[6.9],,,0xC,0x2F,0x4B,,,,,,,,0xFFFF,0xFFFF
242,'of Precision',0x11,0x75B,0x8::(0)[10.15],,,0xC,0x2F,0x4B,,,,,,,,0xFFFF,0xFFFF
243,'of Perfection',0x11,0x75C,0x8::(0)[16.20],,,0xC,0x2F,0x4B,,,,,,,,0xFFFF,0xFFFF
244,'of Nirvana',0x11,0x5203,0x8::(0)[21.30],,,0xC,0x2F,0x4B,,,,,,,,0xFFFF,0xFFFF
245,'of Dexterity',0x11,0x758,0x8::(0)[1.2],,,0xA,0x10,,,,,,,,,0xFFFF,0xFFFF
246,'of Skill',0x11,0x759,0x8::(0)[3.5],,,0xA,0x10,,,,,,,,,0xFFFF,0xFFFF
247,'of Accuracy',0x11,0x75A,0x8::(0)[6.9],,,0xA,0x10,,,,,,,,,0xFFFF,0xFFFF
248,'of Precision',0x11,0x75B,0x8::(0)[10.15],,,0xA,0x10,,,,,,,,,0xFFFF,0xFFFF
249,'of Perfection',0x11,0x75C,0x8::(0)[16.20],,,0xA,0x10,,,,,,,,,0xFFFF,0xFFFF
250,'of Dexterity',0x11,0x758,0x8::(0)[2.3],,,0x3,0xF,,,,,,0x10,,,0xFFFF,0xFFFF
251,'of Skill',0x11,0x759,0x8::(0)[4.5],,,0x3,0xF,,,,,,0x10,,,0xFFFF,0xFFFF
252,'of Accuracy',0x11,0x75A,0x8::(0)[6.9],,,0x3,0xF,,,,,,0x10,,,0xFFFF,0xFFFF
253,'of Precision',0x11,0x75B,0x8::(0)[10.15],,,0x3,0xF,,,,,,0x10,,,0xFFFF,0xFFFF
254,'of Dexterity',0x1F,0x758,0x8::(0)[3.4],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
255,'of Dexterity',0x1F,0x758,0x8::(0)[2.3],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
256,'of Dexterity',0x1F,0x758,0x8::(0)[1],,,0x52,,,,,,,,,,0xFFFF,0xFFFF
257,'of Dexterity',0x1F,0x758,0x8::(0)[5.6],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
258,'of Dexterity',0x1F,0x758,0x8::(0)[4.5],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
259,'of Dexterity',0x1F,0x758,0x8::(0)[2],,,0x52,,,,,,,,,,0xFFFF,0xFFFF
260,'of Daring',0x11,0x5202,0x8::(0)[1.3],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
261,'of Balance',0x12,0x75D,0x4F::(0)[10],,,0x32,,,,,,,0x10,,,0xFFFF,0xFFFF
262,'of Equilibrium',0x12,0x2741,0x50::(0)[17],,,0x3,0x13,0x33,,,,,,,,0xFFFF,0xFFFF
263,'of Stability',0x12,0x75E,0x51::(0)[24],,,0x3,0x13,,,,,,,,,0xFFFF,0xFFFF
264,'of Balance',0x12,0x75D,0x51::(0)[12],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
265,'of Balance',0x12,0x75D,0x50::(0)[8],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
266,'of Balance',0x12,0x75D,0x4F::(0)[5],,,0x52,,,,,,,,,,0xFFFF,0xFFFF
267,'of Truth',0x12,0x5201,0x4F::(0)[7],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
268,'of Regeneration',0x13,0x760,0x35::(0)[3.5],,,0x18,0x13,0xA,0xC,0x4B,,,,,,0xFFFF,0xFFFF
269,'of Regeneration',0x13,0x760,0x35::(0)[3.5],,,0x33,0x10,,,,,,,,,0xFFFF,0xFFFF
270,'of Regeneration',0x13,0x760,0x35::(0)[3.5],,,0x3,0x2D,0xF,,,,,0x18,,,0xFFFF,0xFFFF
271,'of Regrowth',0x13,0x761,0x35::(0)[6.10],,,0x18,0xC,0x4B,,,,,,,,0xFFFF,0xFFFF
272,'of Regrowth',0x13,0x761,0x35::(0)[6.9],,,0x13,0xA,,,,,,,,,0xFFFF,0xFFFF
273,'of Revivification',0x13,0x5200,0x35::(0)[11.15],,,0x18,0xC,0x4B,,,,,,,,0xFFFF,0xFFFF
274,'of Honor',0x13,0x51FF,0x35::(0)[1.4],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
275,'of Vileness',0x14,0x762,0x5E::(0)[1],,,0x2E,,,,,,,0x37,0x44,,0xFFFF,0xFFFF
276,'of Greed',0x15,0x763,0x3A::(0)[25.40],,,0xA,0xC,0x4B,,,,,,,,0xFFFF,0xFFFF
277,'of Wealth',0x15,0x764,0x3A::(0)[41.80],,,0xF,0x10,0x13,0xC,0x4B,,,,,,0xFFFF,0xFFFF
278,'of Greed',0x15,0x763,0x3A::(0)[10.20],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
279,'of Greed',0x15,0x763,0x3A::(0)[21.30],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
280,'of Greed',0x15,0x763,0x3A::(0)[31.40],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
281,'of Greed',0x15,0x763,0x3A::(0)[5.10],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
282,'of Greed',0x15,0x763,0x3A::(0)[11.22],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
283,'of Greed',0x15,0x763,0x3A::(0)[5.10],,,0x52,,,,,,,,,,0xFFFF,0xFFFF
284,'of Avarice',0x15,0x51FE,0x3A::(0)[10.30],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
285,'of Chance',0x16,0x765,0x3B::(0)[5.15],,,0xF,0x10,0xA,0xC,0x4B,,,,,,0xFFFF,0xFFFF
286,'of Fortune',0x16,0x766,0x3B::(0)[16.25],,,0xF,0x10,0xC,0x4B,,,,,,,0xFFFF,0xFFFF
287,'of Fortune',0x16,0x766,0x3B::(0)[16.25],,,0xA,,,,,,,,,,0xFFFF,0xFFFF
288,'of Luck',0x16,0x51FD,0x3B::(0)[26.35],,,0xF,0xC,0x4B,,,,,,,,0xFFFF,0xFFFF
289,'of Fortune',0x16,0x766,0x3B::(0)[3.5],,,0x52,,,,,,,,,,0xFFFF,0xFFFF
290,'of Good Luck',0x16,0x51FC,0x3B::(0)[6.7],,,0x52,,,,,,,,,,0xFFFF,0xFFFF
291,'of Prosperity',0x16,0x51FB,0x3B::(0)[5.10],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
292,'of Energy',0x17,0x767,0xA::(0)[1.3],,,0xC,0x44,0x4B,0x19,0x1A,,,,,,0xFFFF,0xFFFF
293,'of the Mind',0x17,0x768,0xA::(0)[4.6],,,0xC,0x44,0x4B,0x19,0x1A,,,,,,0xFFFF,0xFFFF
294,'of Brilliance',0x17,0x769,0xA::(0)[7.10],,,0xC,0x44,0x4B,0x19,0x1A,,,,,,0xFFFF,0xFFFF
295,'of Sorcery',0x17,0x76A,0xA::(0)[11.15],,,0xC,0x44,0x4B,0x19,0x1A,,,,,,0xFFFF,0xFFFF
296,'of Wizardry',0x17,0x76B,0xA::(0)[16.20],,,0xC,0x44,0x4B,0x19,0x1A,,,,,,0xFFFF,0xFFFF
297,'of Enlightenment',0x17,0x51FA,0xA::(0)[21.30],,,0xC,0x44,0x4B,0x19,0x1A,,,,,,0xFFFF,0xFFFF
298,'of Energy',0x17,0x767,0xA::(0)[1.3],,,0xA,,,,,,,,,,0xFFFF,0xFFFF
299,'of the Mind',0x17,0x768,0xA::(0)[4.6],,,0xA,,,,,,,,,,0xFFFF,0xFFFF
300,'of Brilliance',0x17,0x769,0xA::(0)[7.10],,,0xA,,,,,,,,,,0xFFFF,0xFFFF
301,'of Sorcery',0x17,0x76A,0xA::(0)[11.15],,,0xA,,,,,,,,,,0xFFFF,0xFFFF
302,'of Wizardry',0x17,0x76B,0xA::(0)[16.20],,,0xA,,,,,,,,,,0xFFFF,0xFFFF
303,'of Energy',0x17,0x767,0xA::(0)[1.3],,,0x25,0x18,,,,,,,,,0xFFFF,0xFFFF
304,'of the Mind',0x17,0x768,0xA::(0)[4.6],,,0x25,0x18,,,,,,,,,0xFFFF,0xFFFF
305,'of Brilliance',0x17,0x769,0xA::(0)[7.10],,,0x25,0x18,,,,,,,,,0xFFFF,0xFFFF
306,'of Sorcery',0x17,0x76A,0xA::(0)[11.15],,,0x25,0x18,,,,,,,,,0xFFFF,0xFFFF
307,'of Knowledge',0x17,0x51F9,0xA::(0)[1.5],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
308,'of the Bear',0x18,0x76C,0x3C::(0)[1],,,0x2E,,,,,,,,,,0xFFFF,0xFFFF
309,'of Light',0x19,0x76D,0x49::(0)[1],0xF::(0)[15],,0x32,0x37,0xA,0xC,,,,,,,0xFFFF,0xFFFF
310,'of Radiance',0x19,0x76E,0x49::(0)[3],0xF::(0)[30],,0x37,0x2F,0xA,0xC,0x25,,,,,,0xFFFF,0xFFFF
311,'of the Sun',0x19,0x76F,0x49::(0)[5],0x60::(0)[5],,0x37,0x2F,0x10,0xA,0xC,0x25,,,,,0xFFFF,0xFFFF
312,'of the Jackal',0x1A,0x771,0xD::(0)[1.5],,,0x3,0x13,0xC,0x47,0x4B,,,,,,0xFFFF,0xFFFF
313,'of the Fox',0x1A,0x772,0xD::(0)[6.10],,,0x3,0x13,0xC,0x47,0x4B,,,,,,0xFFFF,0xFFFF
314,'of the Wolf',0x1A,0x773,0xD::(0)[11.20],,,0x3,0x13,0xC,0x47,0x4B,,,,,,0xFFFF,0xFFFF
315,'of the Tiger',0x1A,0x774,0xD::(0)[21.30],,,0x3,0x13,0xC,0x47,0x4B,,,,,,0xFFFF,0xFFFF
316,'of the Mammoth',0x1A,0x775,0xD::(0)[31.40],,,0x3,0x13,0xC,0x47,0x4B,,,,,,0xFFFF,0xFFFF
317,'of the Colosuss',0x1A,0x776,0xD::(0)[41.60],,,0x3,0x13,0xC,0x47,0x4B,,,,,,0xFFFF,0xFFFF
318,'of the Squid',0x1A,0x51F7,0xD::(0)[61.80],,,0x3,0x13,0xC,0x47,0x4B,,,,,,0xFFFF,0xFFFF
319,'of the Whale',0x1A,0x51F6,0xD::(0)[81.100],,,0x3,0x13,0xC,0x47,0x4B,,,,,,0xFFFF,0xFFFF
320,'of the Jackal',0x1A,0x771,0xD::(0)[1.5],,,0x33,0x48,,,,,,,,,0xFFFF,0xFFFF
321,'of the Fox',0x1A,0x772,0xD::(0)[6.10],,,0x33,0x48,,,,,,,,,0xFFFF,0xFFFF
322,'of the Wolf',0x1A,0x773,0xD::(0)[11.20],,,0x33,0x48,,,,,,,,,0xFFFF,0xFFFF
323,'of the Tiger',0x1A,0x774,0xD::(0)[21.30],,,0x33,0x48,,,,,,,,,0xFFFF,0xFFFF
324,'of the Mammoth',0x1A,0x775,0xD::(0)[31.40],,,0x33,0x48,,,,,,,,,0xFFFF,0xFFFF
325,'of the Colosuss',0x1A,0x776,0xD::(0)[41.60],,,0x33,0x48,,,,,,,,,0xFFFF,0xFFFF
326,'of the Jackal',0x1A,0x771,0xD::(0)[1.5],,,0x1D,0x1F,0x24,0xA,0x25,,,,,,0xFFFF,0xFFFF
327,'of the Fox',0x1A,0x772,0xD::(0)[6.10],,,0x1D,0x1F,0x24,0xA,0x25,,,,,,0xFFFF,0xFFFF
328,'of the Wolf',0x1A,0x773,0xD::(0)[11.20],,,0x1D,0x1F,0x24,0xA,0x25,,,,,,0xFFFF,0xFFFF
329,'of the Tiger',0x1A,0x774,0xD::(0)[21.30],,,0x1D,0x1F,0x24,0xA,0x25,,,,,,0xFFFF,0xFFFF
330,'of the Mammoth',0x1A,0x775,0xD::(0)[31.40],,,0x1D,0x1F,0x24,0xA,0x25,,,,,,0xFFFF,0xFFFF
331,'of Life',0x1A,0x770,0xD::(0)[5.10],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
332,'of Life',0x1A,0x770,0xD::(0)[11.15],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
333,'of Life',0x1A,0x770,0xD::(0)[16.20],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
334,'of Substinence',0x1A,0x51F5,0xD::(0)[21.25],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
335,'of Substinence',0x1A,0x51F5,0xD::(0)[26.30],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
336,'of Substinence',0x1A,0x51F5,0xD::(0)[31.35],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
337,'of Vita',0x1A,0x51F4,0xD::(0)[36.40],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
338,'of Vita',0x1A,0x51F4,0xD::(0)[41.45],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
339,'of Vita',0x1A,0x51F4,0xD::(0)[46.50],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
340,'of Life',0x1A,0x770,0xD::(0)[6.10],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
341,'of Life',0x1A,0x770,0xD::(0)[11.15],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
342,'of Substinence',0x1A,0x51F5,0xD::(0)[16.20],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
343,'of Substinence',0x1A,0x51F5,0xD::(0)[21.25],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
344,'of Vita',0x1A,0x51F4,0xD::(0)[26.30],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
345,'of Vita',0x1A,0x51F4,0xD::(0)[31.35],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
346,'of Life',0x1A,0x770,0xD::(0)[5.10],,,0x52,,,,,,,,,,0xFFFF,0xFFFF
347,'of Substinence',0x1A,0x51F5,0xD::(0)[11.15],,,0x52,,,,,,,,,,0xFFFF,0xFFFF
348,'of Vita',0x1A,0x51F4,0xD::(0)[16.20],,,0x52,,,,,,,,,,0xFFFF,0xFFFF
349,'of Spirit',0x1A,0x51F3,0xD::(0)[3.8],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
350,'of Hope',0x1A,0x51F2,0xD::(0)[9.20],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
351,'of the Leech',0x1B,0x777,0x42::(0)[4.5],,,0x2D,,,,,,,0x44,,,0xFFFF,0xFFFF
352,'of the Locust',0x1B,0x778,0x42::(0)[6.7],,,0x2E,,,,,,,0x44,,,0xFFFF,0xFFFF
353,'of the Lamprey',0x1B,0x51F1,0x42::(0)[8.9],,,0x2E,,,,,,,0x44,,,0xFFFF,0xFFFF
354,'of the Leech',0x1B,0x777,0x42::(0)[3.4],,,0xA,0x4B,,,,,,,,,0xFFFF,0xFFFF
355,'of the Locust',0x1B,0x778,0x42::(0)[5.6],,,0xA,0x4B,,,,,,,,,0xFFFF,0xFFFF
356,'of the Lamprey',0x1B,0x51F1,0x42::(0)[7.8],,,0xA,0x4B,,,,,,,,,0xFFFF,0xFFFF
357,'of the Leech',0x1B,0x777,0x42::(0)[3],,,0x10,,,,,,,,,,0xFFFF,0xFFFF
358,'of the Bat',0x1C,0x779,0x41::(0)[4.5],,,0x2D,,,,,,,0x44,,,0xFFFF,0xFFFF
359,'of the Wraith',0x1C,0x2740,0x41::(0)[6.7],,,0x2E,,,,,,,,,,0xFFFF,0xFFFF
360,'of the Vampire',0x1C,0x77A,0x41::(0)[8.9],,,0x2E,,,,,,,,,,0xFFFF,0xFFFF
361,'of the Bat',0x1C,0x779,0x41::(0)[3.4],,,0xC,0x4B,,,,,,,,,0xFFFF,0xFFFF
362,'of the Wraith',0x1C,0x2740,0x41::(0)[5.6],,,0xC,0x4B,,,,,,,,,0xFFFF,0xFFFF
363,'of the Vampire',0x1C,0x77A,0x41::(0)[7.8],,,0xC,0x4B,,,,,,,,,0xFFFF,0xFFFF
364,'of the Bat',0x1C,0x779,0x41::(0)[3],,,0x10,,,,,,,,,,0xFFFF,0xFFFF
365,'of Defiance',0x1D,0x77B,0x58::(0)[75],,,0x3,0x33,0xC,0x4B,,,,,,,0xFFFF,0xFFFF
366,'of Amelioration',0x1D,0x77D,0x58::(0)[50],,,0x3,0x33,0xC,0x4B,,,,,,,0xFFFF,0xFFFF
367,'of Remedy',0x1D,0x77C,0x58::(0)[25],,,0x32,0xA,0xC,0x4B,,,,,,,0xFFFF,0xFFFF
368,'of Simplicity',0x1E,0x77F,0x4B::(0)[4294967266],,,0x3,0x2D,0x33,,,,,0x37,0x44,,0xFFFF,0xFFFF
369,'of Ease',0x1E,0x780,0x4B::(0)[4294967276],,,0x3,0x2D,0x33,,,,,0x37,0x44,,0xFFFF,0xFFFF
370,'of Freedom',0x1E,0x51F0,0x4B::(0)[4294967281],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
371,'of Strength',0x1F,0x782,0x7::(0)[1.2],,,0xC,0x13,0x1D,0x1F,0x4B,,,,,,0xFFFF,0xFFFF
372,'of Might',0x1F,0x783,0x7::(0)[3.5],,,0xC,0x13,0x1D,0x1F,0x4B,,,,,,0xFFFF,0xFFFF
373,'of the Ox',0x1F,0x784,0x7::(0)[6.9],,,0xC,0x13,0x1D,0x1F,0x4B,,,,,,0xFFFF,0xFFFF
374,'of the Giant',0x1F,0x785,0x7::(0)[10.15],,,0xC,0x13,0x1D,0x1F,0x4B,,,,,,0xFFFF,0xFFFF
375,'of the Titan',0x1F,0x786,0x7::(0)[16.20],,,0xC,0x13,0x1D,0x1F,0x4B,,,,,,0xFFFF,0xFFFF
376,'of Atlus',0x1F,0x51EF,0x7::(0)[21.30],,,0xC,0x13,0x1D,0x1F,0x4B,,,,,,0xFFFF,0xFFFF
377,'of Strength',0x1F,0x782,0x7::(0)[1.2],,,0xA,0x18,0x24,0x3,,,,,,,0xFFFF,0xFFFF
378,'of Might',0x1F,0x783,0x7::(0)[3.5],,,0xA,0x18,0x24,0x3,,,,,,,0xFFFF,0xFFFF
379,'of the Ox',0x1F,0x784,0x7::(0)[6.9],,,0xA,0x18,0x24,0x3,,,,,,,0xFFFF,0xFFFF
380,'of the Giant',0x1F,0x785,0x7::(0)[10.15],,,0xA,0x18,0x24,0x3,,,,,,,0xFFFF,0xFFFF
381,'of the Titan',0x1F,0x786,0x7::(0)[16.20],,,0xA,0x18,0x24,0x3,,,,,,,0xFFFF,0xFFFF
382,'of Strength',0x1F,0x782,0x7::(0)[1.2],,,0x2E,0x10,0x33,,,,,0x39,,,0xFFFF,0xFFFF
383,'of Might',0x1F,0x783,0x7::(0)[3.5],,,0x2E,0x10,0x33,,,,,0x39,,,0xFFFF,0xFFFF
384,'of the Ox',0x1F,0x784,0x7::(0)[6.9],,,0x2E,0x10,0x33,,,,,0x39,,,0xFFFF,0xFFFF
385,'of the Giant',0x1F,0x785,0x7::(0)[10.15],,,0x2E,0x10,,,,,,0x39,,,0xFFFF,0xFFFF
386,'of Strength',0x1F,0x782,0x7::(0)[3.4],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
387,'of Strength',0x1F,0x782,0x7::(0)[2.3],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
388,'of Strength',0x1F,0x782,0x7::(0)[1],,,0x52,,,,,,,,,,0xFFFF,0xFFFF
389,'of Strength',0x1F,0x782,0x7::(0)[5.6],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
390,'of Strength',0x1F,0x782,0x7::(0)[4.5],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
391,'of Strength',0x1F,0x782,0x7::(0)[2],,,0x52,,,,,,,,,,0xFFFF,0xFFFF
392,'of Virility',0x1F,0x51EE,0x7::(0)[1.4],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
393,'of Pacing',0x23,0x787,0x4C::(0)[10],,,0xF,0x4B,,,,,,,,,0xFFFF,0xFFFF
394,'of Haste',0x23,0x788,0x4D::(0)[20],,,0xF,0x4B,,,,,,,,,0xFFFF,0xFFFF
395,'of Speed',0x23,0x789,0x4E::(0)[30],,,0xF,0x4B,,,,,,,,,0xFFFF,0xFFFF
396,'of Traveling',0x23,0x51ED,0x4E::(0)[30],0x74::(0)[80.90],,0xF,,,,,,,,,,0xFFFF,0xFFFF
397,'of Acceleration',0x23,0x51EC,0x4E::(0)[40],,,0xF,,,,,,,,,,0xFFFF,0xFFFF
398,'of Inertia',0x23,0x52D3,0x4E::(0)[7],,,0x54,,,,,,,,,,0xFFFF,0xFFFF
399,'of Inertia',0x23,0x52D3,0x4D::(0)[5],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
400,'of Inertia',0x23,0x52D3,0x4C::(0)[3],,,0x52,,,,,,,,,,0xFFFF,0xFFFF
401,'of Self-Repair',0x25,0x51EB,0xB3::(3)[0],,,0x2D,0x32,,,,,,0x30,0x2F,,0xFFFF,0xFFFF
402,'of Fast Repair',0x25,0x51EA,0xB3::(5)[0],,,0x2D,0x32,,,,,,0x30,0x2F,,0xFFFF,0xFFFF
403,'of Ages',0x27,0x51E9,0xF2::(0)[0],,,0x2D,0x32,,,,,,0x30,0x2F,,0xFFFF,0xFFFF
404,'of Replenishing',0x27,0x51E8,0xB4::(5)[0],,,0x30,,,,,,,,,,0xFFFF,0xFFFF
405,'of Propogation',0x27,0x51E7,0xB4::(10)[0],,,0x30,,,,,,,,,,0xFFFF,0xFFFF
406,'of the Kraken',0x29,0x5536,0x8F::(6)[0],,,0x3,0xC,0x48,0x47,,,,,,,0xFFFF,0xFFFF
407,'of Memory',0x29,0x51E5,0x90::(6)[0],,,0x4B,0xC,0x48,,,,,,,,0xFFFF,0xFFFF
408,'of the Elephant',0x29,0x51E4,0x8F::(4)[0],0x90::(2)[0],,0x4B,0x48,,,,,,,,,0xFFFF,0xFFFF
409,'of Power',0x2A,0x51E3,0x93::(3)[0],,,0x13,0xC,,,,,,,,,0xFFFF,0xFFFF
410,'of Grace',0x2A,0x51E2,0x94::(3)[0],,,0x25,0xC,,,,,,,,,0xFFFF,0xFFFF
411,'of Grace and Power',0x2A,0x51E1,0x93::(1)[0],0x94::(1)[0],,0xC,,,,,,,,,,0xFFFF,0xFFFF
412,'of the Yeti',0x2B,0x51E0,0x9D::(3)[0],,,0x3,0x10,0xC,,,,,,,,0xFFFF,0xFFFF
413,'of the Phoenix',0x2B,0x51DF,0x9E::(3)[0],,,0x33,0x25,0xC,,,,,,,,0xFFFF,0xFFFF
414,'of the Efreeti',0x2B,0x51DE,0x9F::(3)[0],,,0x10,0xF,0xA,,,,,,,,0xFFFF,0xFFFF
415,'of the Cobra',0x2B,0x51DD,0xA0::(3)[0],,,0x13,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
416,'of the Elements',0x2B,0x51DC,0x9D::(1)[0],0x9E::(1)[0],0x9F::(1)[0],0x4B,,,,,,,,,,0xFFFF,0xFFFF
417,'of Firebolts',0x2C,0x51DB,0x7F::(36)[10.8],,,0x2D,,,,,,,0x2F,,,0xFFFF,0xFFFF
418,'of Firebolts',0x2C,0x51DB,0x7E::(36)[5.3],,,0x2D,,,,,,,0x2F,,,0xFFFF,0xFFFF
419,'of Firebolts',0x2C,0x51DB,0x7E::(36)[10.4],,,0x2D,,,,,,,0x2F,,,0xFFFF,0xFFFF
420,'of Charged Shield',0x2C,0x51DA,0x80::(38)[10.3],,,0x32,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
421,'of Charged Shield',0x2C,0x51DA,0x80::(38)[12.4],,,0x32,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
422,'of Charged Shield',0x2C,0x51DA,0x80::(38)[14.5],,,0x32,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
423,'of Icebolt',0x2C,0x51D9,0x7E::(39)[5.3],,,0x2D,,,,,,,0x2F,,,0xFFFF,0xFFFF
424,'of Frozen Armor',0x2C,0x51D8,,,,,,,,,,,,,,0xFFFF,0xFFFF
425,'of Static Field',0x2C,0x51D7,,,,,,,,,,,,,,0xFFFF,0xFFFF
426,'of Telekinesis',0x2C,0x51D6,,,,,,,,,,,,,,0xFFFF,0xFFFF
427,'of Frost Shield',0x2C,0x51D5,0x80::(44)[5.3],,,0x32,0xC,,,,,,,,,0xFFFF,0xFFFF
